epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,32207.3,1.70901,1.91384,2.09649,0.8022,0.78208,0.84092,0.58375,1.82274,1.82642,2.16984,0.004852,0.004852,0.004852
80,32624,1.6948,1.90142,2.09223,0.80391,0.78282,0.84033,0.58135,1.83887,1.83221,2.17809,0.004786,0.004786,0.004786
81,33053.8,1.70678,1.91039,2.09786,0.80487,0.78241,0.84171,0.58184,1.84044,1.82333,2.1794,0.00472,0.00472,0.00472
82,33483,1.70114,1.90677,2.09093,0.80013,0.7849,0.84171,0.58387,1.8315,1.82087,2.17057,0.004654,0.004654,0.004654
83,33912,1.68656,1.89167,2.07971,0.80825,0.78604,0.84507,0.58712,1.82252,1.80319,2.16323,0.004588,0.004588,0.004588
84,34340,1.6957,1.89617,2.09043,0.80241,0.78732,0.8447,0.58778,1.82484,1.795,2.16229,0.004522,0.004522,0.004522
85,34766.8,1.69345,1.8999,2.09042,0.80409,0.78529,0.8434,0.58833,1.8219,1.79556,2.15976,0.004456,0.004456,0.004456
86,35194.2,1.68955,1.87185,2.07948,0.80438,0.78329,0.84435,0.58881,1.8255,1.79656,2.15754,0.00439,0.00439,0.00439
87,35622.1,1.67966,1.87254,2.0794,0.8025,0.78439,0.84343,0.58896,1.82028,1.79921,2.1552,0.004324,0.004324,0.004324
88,36051.1,1.68452,1.87585,2.07956,0.79845,0.78446,0.84125,0.5888,1.80854,1.80436,2.14761,0.004258,0.004258,0.004258
89,36480.7,1.68367,1.88934,2.08343,0.80096,0.78322,0.84162,0.59039,1.80483,1.79929,2.14528,0.004192,0.004192,0.004192
90,36909.8,1.67983,1.87352,2.07394,0.8013,0.78371,0.84131,0.58919,1.81186,1.80011,2.14655,0.004126,0.004126,0.004126
91,37339,1.68454,1.87327,2.0758,0.79862,0.78613,0.84062,0.58871,1.8127,1.80283,2.14492,0.00406,0.00406,0.00406
92,37768.5,1.66896,1.8646,2.07187,0.79202,0.788,0.83915,0.58755,1.81262,1.81206,2.14422,0.003994,0.003994,0.003994
93,38199.3,1.66319,1.84993,2.07309,0.79199,0.78855,0.83927,0.58789,1.81146,1.81257,2.14379,0.003928,0.003928,0.003928
94,38628.6,1.65824,1.85642,2.06439,0.79531,0.78714,0.84038,0.58791,1.81263,1.80932,2.14538,0.003862,0.003862,0.003862
95,39058.1,1.66072,1.84747,2.06744,0.79579,0.78679,0.84046,0.58755,1.81692,1.80634,2.14863,0.003796,0.003796,0.003796
96,39487.4,1.65461,1.85229,2.06535,0.79573,0.7899,0.84157,0.58783,1.81872,1.80555,2.15033,0.00373,0.00373,0.00373
97,39916.3,1.6554,1.85365,2.05863,0.79994,0.78531,0.84181,0.58812,1.81703,1.80274,2.14823,0.003664,0.003664,0.003664
98,40346.4,1.64829,1.84748,2.06195,0.80191,0.78529,0.84208,0.58828,1.81846,1.80106,2.14829,0.003598,0.003598,0.003598
99,40775.2,1.6479,1.82888,2.05942,0.80275,0.78428,0.8413,0.5875,1.82012,1.80831,2.1481,0.003532,0.003532,0.003532
